"Date","ISO","Country","Scale","Note"
02/03/2020,"IRN","Iran (Islamic Republic of)","National",
02/03/2020,"IRQ","Iraq","Localized",
02/03/2020,"ITA","Italy","Localized",
02/03/2020,"JPN","Japan","National",
02/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
02/03/2020,"KWT","Kuwait","National",
02/03/2020,"LBN","Lebanon","National",
02/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
02/03/2020,"PAK","Pakistan","Localized",
02/03/2020,"PRK","Democratic People's Republic of Korea","National",
02/03/2020,"SMR","San Marino","National",
02/03/2020,"USA","United States of America","Localized",
02/03/2020,"VNM","Viet Nam","Localized",
03/03/2020,"AFG","Afghanistan","Localized",
03/03/2020,"ARM","Armenia","National",
03/03/2020,"AZE","Azerbaijan","National",
03/03/2020,"BHR","Bahrain","National",
03/03/2020,"CHN","China","National",
03/03/2020,"DEU","Germany","Localized",
03/03/2020,"FRA","France","Localized",
03/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
03/03/2020,"GEO","Georgia","National",
03/03/2020,"IRN","Iran (Islamic Republic of)","National",
03/03/2020,"IRQ","Iraq","Localized",
03/03/2020,"ITA","Italy","Localized",
03/03/2020,"JPN","Japan","National",
03/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
03/03/2020,"KWT","Kuwait","National",
03/03/2020,"LBN","Lebanon","National",
03/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
03/03/2020,"PAK","Pakistan","Localized",
03/03/2020,"PRK","Democratic People's Republic of Korea","National",
03/03/2020,"SMR","San Marino","National",
03/03/2020,"USA","United States of America","Localized",
03/03/2020,"VNM","Viet Nam","Localized",
04/03/2020,"AFG","Afghanistan","Localized",
04/03/2020,"ARM","Armenia","National",
04/03/2020,"AZE","Azerbaijan","National",
04/03/2020,"BHR","Bahrain","National",
04/03/2020,"CHN","China","National",
04/03/2020,"DEU","Germany","Localized",
04/03/2020,"FRA","France","Localized",
04/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
04/03/2020,"GEO","Georgia","National",
04/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
04/03/2020,"IRN","Iran (Islamic Republic of)","National",
04/03/2020,"IRQ","Iraq","Localized",
04/03/2020,"ITA","Italy","Localized",
04/03/2020,"JPN","Japan","National",
04/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
04/03/2020,"KWT","Kuwait","National",
04/03/2020,"LBN","Lebanon","National",
04/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
04/03/2020,"PAK","Pakistan","Localized",
04/03/2020,"PRK","Democratic People's Republic of Korea","National",
04/03/2020,"SMR","San Marino","National",
04/03/2020,"USA","United States of America","Localized",
04/03/2020,"VNM","Viet Nam","Localized",
05/03/2020,"AFG","Afghanistan","Localized",
05/03/2020,"ARM","Armenia","National",
05/03/2020,"AZE","Azerbaijan","National",
05/03/2020,"BHR","Bahrain","National",
05/03/2020,"CHN","China","National",
05/03/2020,"DEU","Germany","Localized",
05/03/2020,"FRA","France","Localized",
05/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
05/03/2020,"GEO","Georgia","National",
05/03/2020,"GRC","Greece","Localized",
05/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
05/03/2020,"IRN","Iran (Islamic Republic of)","National",
05/03/2020,"IRQ","Iraq","Localized",
05/03/2020,"ITA","Italy","Localized",
05/03/2020,"JPN","Japan","National",
05/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
05/03/2020,"KWT","Kuwait","National",
05/03/2020,"LBN","Lebanon","National",
05/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
05/03/2020,"PAK","Pakistan","Localized",
05/03/2020,"PRK","Democratic People's Republic of Korea","National",
05/03/2020,"PRT","Portugal","Localized",
05/03/2020,"PSE","Palestine","Localized",
05/03/2020,"SMR","San Marino","National",
05/03/2020,"USA","United States of America","Localized",
05/03/2020,"VNM","Viet Nam","Localized",
06/03/2020,"AFG","Afghanistan","Localized",
06/03/2020,"ARM","Armenia","National",
06/03/2020,"AZE","Azerbaijan","National",
06/03/2020,"BHR","Bahrain","National",
06/03/2020,"BTN","Bhutan","Localized",
06/03/2020,"CHN","China","National",
06/03/2020,"DEU","Germany","Localized",
06/03/2020,"FRA","France","Localized",
06/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
06/03/2020,"GEO","Georgia","National",
06/03/2020,"GRC","Greece","Localized",
06/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
06/03/2020,"IRN","Iran (Islamic Republic of)","National",
06/03/2020,"IRQ","Iraq","Localized",
06/03/2020,"ITA","Italy","Localized",
06/03/2020,"JPN","Japan","National",
06/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
06/03/2020,"KWT","Kuwait","National",
06/03/2020,"LBN","Lebanon","National",
06/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
06/03/2020,"PAK","Pakistan","Localized",
06/03/2020,"PRK","Democratic People's Republic of Korea","National",
06/03/2020,"PRT","Portugal","Localized",
06/03/2020,"PSE","Palestine","Localized",
06/03/2020,"SMR","San Marino","National",
06/03/2020,"UKR","Ukraine","Localized",
06/03/2020,"USA","United States of America","Localized",
06/03/2020,"VNM","Viet Nam","Localized",
07/03/2020,"AFG","Afghanistan","Localized",
07/03/2020,"ARM","Armenia","National",
07/03/2020,"AZE","Azerbaijan","National",
07/03/2020,"BHR","Bahrain","National",
07/03/2020,"BTN","Bhutan","Localized",
07/03/2020,"CHN","China","National",
07/03/2020,"DEU","Germany","Localized",
07/03/2020,"FRA","France","Localized",
07/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
07/03/2020,"GEO","Georgia","National",
07/03/2020,"GRC","Greece","Localized",
07/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
07/03/2020,"IRN","Iran (Islamic Republic of)","National",
07/03/2020,"IRQ","Iraq","National",
07/03/2020,"ITA","Italy","Localized",
07/03/2020,"JPN","Japan","National",
07/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
07/03/2020,"KWT","Kuwait","National",
07/03/2020,"LBN","Lebanon","National",
07/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
07/03/2020,"PAK","Pakistan","Localized",
07/03/2020,"PRK","Democratic People's Republic of Korea","National",
07/03/2020,"PRT","Portugal","Localized",
07/03/2020,"PSE","Palestine","Localized",
07/03/2020,"SMR","San Marino","National",
07/03/2020,"UKR","Ukraine","Localized",
07/03/2020,"USA","United States of America","Localized",
07/03/2020,"VNM","Viet Nam","Localized",
08/03/2020,"AFG","Afghanistan","Localized",
08/03/2020,"ARE","United Arab Emirates","National",
08/03/2020,"ARM","Armenia","National",
08/03/2020,"AZE","Azerbaijan","National",
08/03/2020,"BHR","Bahrain","National",
08/03/2020,"BTN","Bhutan","Localized",
08/03/2020,"CHN","China","National",
08/03/2020,"DEU","Germany","Localized",
08/03/2020,"FRA","France","Localized",
08/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
08/03/2020,"GEO","Georgia","National",
08/03/2020,"GRC","Greece","Localized",
08/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
08/03/2020,"IRN","Iran (Islamic Republic of)","National",
08/03/2020,"IRQ","Iraq","National",
08/03/2020,"ITA","Italy","Localized",
08/03/2020,"JPN","Japan","National",
08/03/2020,"KHM","Cambodia","Localized",
08/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
08/03/2020,"KWT","Kuwait","National",
08/03/2020,"LBN","Lebanon","National",
08/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
08/03/2020,"PAK","Pakistan","Localized",
08/03/2020,"PRK","Democratic People's Republic of Korea","National",
08/03/2020,"PRT","Portugal","Localized",
08/03/2020,"PSE","Palestine","Localized",
08/03/2020,"SMR","San Marino","National",
08/03/2020,"UKR","Ukraine","Localized",
08/03/2020,"USA","United States of America","Localized",
08/03/2020,"VNM","Viet Nam","Localized",
09/03/2020,"AFG","Afghanistan","Localized",
09/03/2020,"ARE","United Arab Emirates","National",
09/03/2020,"ARM","Armenia","National",
09/03/2020,"AZE","Azerbaijan","National",
09/03/2020,"BHR","Bahrain","National",
09/03/2020,"BTN","Bhutan","Localized",
09/03/2020,"CHN","China","National",
09/03/2020,"DEU","Germany","Localized",
09/03/2020,"FRA","France","Localized",
09/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
09/03/2020,"GEO","Georgia","National",
09/03/2020,"GRC","Greece","Localized",
09/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
09/03/2020,"IRN","Iran (Islamic Republic of)","National",
09/03/2020,"IRQ","Iraq","National",
09/03/2020,"ITA","Italy","Localized",
09/03/2020,"JPN","Japan","National",
09/03/2020,"KHM","Cambodia","Localized",
09/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
09/03/2020,"KWT","Kuwait","National",
09/03/2020,"LBN","Lebanon","National",
09/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
09/03/2020,"PAK","Pakistan","Localized",
09/03/2020,"PRK","Democratic People's Republic of Korea","National",
09/03/2020,"PRT","Portugal","Localized",
09/03/2020,"PSE","Palestine","Localized",
09/03/2020,"SAU","Saudi Arabia","National",
09/03/2020,"SMR","San Marino","National",
09/03/2020,"UKR","Ukraine","Localized",
09/03/2020,"USA","United States of America","Localized",
09/03/2020,"VNM","Viet Nam","Localized",
10/03/2020,"AFG","Afghanistan","Localized",
10/03/2020,"ARE","United Arab Emirates","National",
10/03/2020,"ARM","Armenia","National",
10/03/2020,"AZE","Azerbaijan","National",
10/03/2020,"BHR","Bahrain","National",
10/03/2020,"BTN","Bhutan","Localized",
10/03/2020,"CHN","China","National",
10/03/2020,"DEU","Germany","Localized",
10/03/2020,"FRA","France","Localized",
10/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
10/03/2020,"GEO","Georgia","National",
10/03/2020,"GRC","Greece","Localized",
10/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
10/03/2020,"IRN","Iran (Islamic Republic of)","National",
10/03/2020,"IRQ","Iraq","National",
10/03/2020,"ITA","Italy","National",
10/03/2020,"JPN","Japan","National",
10/03/2020,"KHM","Cambodia","Localized",
10/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
10/03/2020,"KWT","Kuwait","National",
10/03/2020,"LBN","Lebanon","National",
10/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
10/03/2020,"PAK","Pakistan","Localized",
10/03/2020,"PHL","Philippines","Localized",
10/03/2020,"PRK","Democratic People's Republic of Korea","National",
10/03/2020,"PRT","Portugal","Localized",
10/03/2020,"PSE","Palestine","Localized",
10/03/2020,"QAT","Qatar","National",
10/03/2020,"SAU","Saudi Arabia","National",
10/03/2020,"SMR","San Marino","National",
10/03/2020,"SVK","Slovakia","Localized",
10/03/2020,"UKR","Ukraine","Localized",
10/03/2020,"USA","United States of America","Localized",
10/03/2020,"VNM","Viet Nam","Localized",
11/03/2020,"AFG","Afghanistan","Localized",
11/03/2020,"ALB","Albania","National",
11/03/2020,"ARE","United Arab Emirates","National",
11/03/2020,"ARM","Armenia","National",
11/03/2020,"AZE","Azerbaijan","National",
11/03/2020,"BHR","Bahrain","National",
11/03/2020,"BIH","Bosnia and Herzegovina","National",
11/03/2020,"BTN","Bhutan","Localized",
11/03/2020,"CHN","China","National",
11/03/2020,"CZE","Czechia","National",
11/03/2020,"DEU","Germany","Localized",
11/03/2020,"ESP","Spain","Localized",
11/03/2020,"FRA","France","Localized",
11/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
11/03/2020,"GEO","Georgia","National",
11/03/2020,"GRC","Greece","National",
11/03/2020,"HUN","Hungary","Localized",
11/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
11/03/2020,"IRN","Iran (Islamic Republic of)","National",
11/03/2020,"IRQ","Iraq","National",
11/03/2020,"ITA","Italy","National",
11/03/2020,"JPN","Japan","National",
11/03/2020,"KHM","Cambodia","Localized",
11/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
11/03/2020,"KWT","Kuwait","National",
11/03/2020,"LBN","Lebanon","National",
11/03/2020,"MDA","Republic of Moldova","National",
11/03/2020,"MKD","North Macedonia","National",
11/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
11/03/2020,"PAK","Pakistan","Localized",
11/03/2020,"PHL","Philippines","Localized",
11/03/2020,"PRK","Democratic People's Republic of Korea","National",
11/03/2020,"PRT","Portugal","Localized",
11/03/2020,"PRY","Paraguay ","National",
11/03/2020,"PSE","Palestine","Localized",
11/03/2020,"QAT","Qatar","National",
11/03/2020,"ROU","Romania","National",
11/03/2020,"RUS","Russian Federation","Localized",
11/03/2020,"SAU","Saudi Arabia","National",
11/03/2020,"SLV","El Salvador","National",
11/03/2020,"SMR","San Marino","National",
11/03/2020,"SVK","Slovakia","Localized",
11/03/2020,"UKR","Ukraine","Localized",
11/03/2020,"USA","United States of America","Localized",
11/03/2020,"VNM","Viet Nam","Localized",
12/03/2020,"AFG","Afghanistan","Localized",
12/03/2020,"ALB","Albania","National",
12/03/2020,"ARE","United Arab Emirates","National",
12/03/2020,"ARM","Armenia","National",
12/03/2020,"AZE","Azerbaijan","National",
12/03/2020,"BHR","Bahrain","National",
12/03/2020,"BIH","Bosnia and Herzegovina","National",
12/03/2020,"BOL","Bolivia (Plurinational State of)","National",
12/03/2020,"BRA","Brazil","Localized",
12/03/2020,"BTN","Bhutan","Localized",
12/03/2020,"CHE","Switzerland","Localized",
12/03/2020,"CHN","China","National",
12/03/2020,"CZE","Czechia","National",
12/03/2020,"DEU","Germany","Localized",
12/03/2020,"DZA","Algeria","National",
12/03/2020,"ESP","Spain","Localized",
12/03/2020,"FRA","France","Localized",
12/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
12/03/2020,"GEO","Georgia","National",
12/03/2020,"GRC","Greece","National",
12/03/2020,"HND","Honduras","National",
12/03/2020,"HUN","Hungary","Localized",
12/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
12/03/2020,"IRL","Ireland","National",
12/03/2020,"IRN","Iran (Islamic Republic of)","National",
12/03/2020,"IRQ","Iraq","National",
12/03/2020,"ISR","Israel","National",
12/03/2020,"ITA","Italy","National",
12/03/2020,"JPN","Japan","National",
12/03/2020,"KHM","Cambodia","Localized",
12/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
12/03/2020,"KWT","Kuwait","National",
12/03/2020,"LBN","Lebanon","National",
12/03/2020,"MDA","Republic of Moldova","National",
12/03/2020,"MDV","Maldives","National",
12/03/2020,"MKD","North Macedonia","National",
12/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
12/03/2020,"NOR","Norway","National",
12/03/2020,"PAK","Pakistan ","Localized",
12/03/2020,"PAN","Panama","National",
12/03/2020,"PHL","Philippines","Localized",
12/03/2020,"PRK","Democratic People's Republic of Korea","National",
12/03/2020,"PRT","Portugal","Localized",
12/03/2020,"PRY","Paraguay ","National",
12/03/2020,"PSE","Palestine","Localized",
12/03/2020,"QAT","Qatar","National",
12/03/2020,"ROU","Romania","National",
12/03/2020,"RUS","Russian Federation","Localized",
12/03/2020,"SAU","Saudi Arabia","National",
12/03/2020,"SJM","Svalbard","National",
12/03/2020,"SLV","El Salvador","National",
12/03/2020,"SMR","San Marino","National",
12/03/2020,"SVK","Slovakia","Localized",
12/03/2020,"UKR","Ukraine","National",
12/03/2020,"USA","United States of America","Localized",
12/03/2020,"VNM","Viet Nam","Localized",
13/03/2020,"AFG","Afghanistan","Localized",
13/03/2020,"AIA","Anguilla","National",
13/03/2020,"ALB","Albania","National",
13/03/2020,"ARE","United Arab Emirates","National",
13/03/2020,"ARM","Armenia","National",
13/03/2020,"ATG","Antigua and Barbuda","National",
13/03/2020,"AZE","Azerbaijan","National",
13/03/2020,"BEL","Belgium","National",
13/03/2020,"BHR","Bahrain","National",
13/03/2020,"BIH","Bosnia and Herzegovina","National",
13/03/2020,"BOL","Bolivia (Plurinational State of)","National",
13/03/2020,"BRA","Brazil","Localized",
13/03/2020,"BTN","Bhutan","Localized",
13/03/2020,"CAN","Canada","Localized","The ten Provinces and three Territories have mandated closures of educational institutions, with varying dates, which in some cases coincide with the term break and therefore not related to COVID-19. "
13/03/2020,"CHE","Switzerland","Localized",
13/03/2020,"CHN","China","National",
13/03/2020,"CYP","Cyprus","National",
13/03/2020,"CZE","Czechia","National",
13/03/2020,"DEU","Germany","Localized",
13/03/2020,"DZA","Algeria","National",
13/03/2020,"ECU","Ecuador","National","Schools in the Coastal area and in the Highlands and Amazonia run on different schedules."
13/03/2020,"ESP","Spain","Localized",
13/03/2020,"FRA","France","Localized",
13/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
13/03/2020,"GEO","Georgia","National",
13/03/2020,"GRC","Greece","National",
13/03/2020,"HND","Honduras","National",
13/03/2020,"HUN","Hungary","Localized",
13/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
13/03/2020,"IRL","Ireland","National",
13/03/2020,"IRN","Iran (Islamic Republic of)","National",
13/03/2020,"IRQ","Iraq","National",
13/03/2020,"ISR","Israel","National",
13/03/2020,"ITA","Italy","National",
13/03/2020,"JAM","Jamaica","National",
13/03/2020,"JPN","Japan","National",
13/03/2020,"KHM","Cambodia","Localized",
13/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
13/03/2020,"KWT","Kuwait","National",
13/03/2020,"LBN","Lebanon","National",
13/03/2020,"LKA","Sri Lanka","National",
13/03/2020,"LVA","Latvia","National",
13/03/2020,"MDA","Republic of Moldova","National",
13/03/2020,"MDV","Maldives","National",
13/03/2020,"MKD","North Macedonia","National",
13/03/2020,"MLT","Malta","National",
13/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
13/03/2020,"NOR","Norway","National",
13/03/2020,"PAK","Pakistan ","Localized",
13/03/2020,"PAN","Panama","National",
13/03/2020,"PHL","Philippines","Localized",
13/03/2020,"PRK","Democratic People's Republic of Korea","National",
13/03/2020,"PRT","Portugal","Localized",
13/03/2020,"PRY","Paraguay ","National",
13/03/2020,"PSE","Palestine","Localized",
13/03/2020,"QAT","Qatar","National",
13/03/2020,"ROU","Romania","National",
13/03/2020,"RUS","Russian Federation","Localized",
13/03/2020,"SAU","Saudi Arabia","National",
13/03/2020,"SJM","Svalbard","National",
13/03/2020,"SLV","El Salvador","National",
13/03/2020,"SMR","San Marino","National",
13/03/2020,"SVK","Slovakia","Localized",
13/03/2020,"UKR","Ukraine","National",
13/03/2020,"USA","United States of America","Localized",
13/03/2020,"VNM","Viet Nam","Localized",
14/03/2020,"AFG","Afghanistan","National",
14/03/2020,"AIA","Anguilla","National",
14/03/2020,"ALB","Albania","National",
14/03/2020,"ARE","United Arab Emirates","National",
14/03/2020,"ARM","Armenia","National",
14/03/2020,"ATG","Antigua and Barbuda","National",
14/03/2020,"AZE","Azerbaijan","National",
14/03/2020,"BEL","Belgium","National",
14/03/2020,"BHR","Bahrain","National",
14/03/2020,"BIH","Bosnia and Herzegovina","National",
14/03/2020,"BOL","Bolivia (Plurinational State of)","National",
14/03/2020,"BRA","Brazil","Localized",
14/03/2020,"BTN","Bhutan","Localized",
14/03/2020,"CAN","Canada","Localized","The ten Provinces and three Territories have mandated closures of educational institutions, with varying dates, which in some cases coincide with the term break and therefore not related to COVID-19. "
14/03/2020,"CHE","Switzerland","Localized",
14/03/2020,"CHN","China","National",
14/03/2020,"CYM","Cayman Islands","National",
14/03/2020,"CYP","Cyprus","National",
14/03/2020,"CZE","Czechia","National",
14/03/2020,"DEU","Germany","Localized",
14/03/2020,"DZA","Algeria","National",
14/03/2020,"ECU","Ecuador","National","Schools in the Coastal area and in the Highlands and Amazonia run on different schedules."
14/03/2020,"ESP","Spain","Localized",
14/03/2020,"FRA","France","Localized",
14/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
14/03/2020,"GEO","Georgia","National",
14/03/2020,"GRC","Greece","National",
14/03/2020,"HND","Honduras","National",
14/03/2020,"HUN","Hungary","Localized",
14/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
14/03/2020,"IRL","Ireland","National",
14/03/2020,"IRN","Iran (Islamic Republic of)","National",
14/03/2020,"IRQ","Iraq","National",
14/03/2020,"ISR","Israel","National",
14/03/2020,"ITA","Italy","National",
14/03/2020,"JAM","Jamaica","National",
14/03/2020,"JPN","Japan","National",
14/03/2020,"KHM","Cambodia","Localized",
14/03/2020,"KOR","Republic of Korea","National","The 2020 academic year started in early April with 5 weeks delay. Classes are being offered only through distance learning."
14/03/2020,"KWT","Kuwait","National",
14/03/2020,"LBN","Lebanon","National",
14/03/2020,"LKA","Sri Lanka","National",
14/03/2020,"LVA","Latvia","National",
14/03/2020,"MDA","Republic of Moldova","National",
14/03/2020,"MDV","Maldives","National",
14/03/2020,"MKD","North Macedonia","National",
14/03/2020,"MLT","Malta","National",
14/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
14/03/2020,"NOR","Norway","National",
14/03/2020,"PAK","Pakistan ","National",
14/03/2020,"PAN","Panama","National",
14/03/2020,"PHL","Philippines","Localized",
14/03/2020,"PRK","Democratic People's Republic of Korea","National",
14/03/2020,"PRT","Portugal","Localized",
14/03/2020,"PRY","Paraguay ","National",
14/03/2020,"PSE","Palestine","Localized",
14/03/2020,"QAT","Qatar","National",
14/03/2020,"ROU","Romania","National",
14/03/2020,"RUS","Russian Federation","Localized",
14/03/2020,"SAU","Saudi Arabia","National",
14/03/2020,"SJM","Svalbard","National",
14/03/2020,"SLV","El Salvador","National",
14/03/2020,"SMR","San Marino","National",
14/03/2020,"SVK","Slovakia","Localized",
14/03/2020,"TTO","Trinidad and Tobago","National",
14/03/2020,"UKR","Ukraine","National",
14/03/2020,"USA","United States of America","Localized",
14/03/2020,"VNM","Viet Nam","Localized",
15/03/2020,"AFG","Afghanistan","National",
15/03/2020,"AIA","Anguilla","National",
15/03/2020,"ALB","Albania","National",
15/03/2020,"ARE","United Arab Emirates","National",
15/03/2020,"ARM","Armenia","National",
15/03/2020,"ATG","Antigua and Barbuda","National",
15/03/2020,"AZE","Azerbaijan","National",
15/03/2020,"BEL","Belgium","National",
15/03/2020,"BHR","Bahrain","National",
15/03/2020,"BIH","Bosnia and Herzegovina","National",
15/03/2020,"BOL","Bolivia (Plurinational State of)","National",
15/03/2020,"BRA","Brazil","Localized",
15/03/2020,"BTN","Bhutan","Localized",
